username,name,location,company,bio,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active
carlosdtn,,,,,2,7,0,3.5,1,730.5,0,0,0,2,7,TypeScript,1,1,J,0.0,0.5,0,371.0,False
joskr2,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
andreyanez,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
urp-topicos-2025-2,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
AnthonyTC89,,,,,4,15,2,3.75,1,1461.0,0,0,0,3,19,"Ruby, JavaScript",2,2,J,0.0,0.0,80,30.0,True
METAMAZON,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
gnahc2305,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
lab-humanidades-digitales-pucp,,,,,1,3,6,3.0,1,365.25,0,0,0,1,15,Jupyter Notebook,1,1,M,0.0,1.0,0,1227.0,False
theb4rt,,,,,1,28,0,28.0,1,365.25,0,0,0,1,28,Python,1,1,J,0.0,0.0,0,946.0,False
linointhecloud,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
samuelbonifacio015,,,,,3,9,0,3.0,1,1095.75,0,0,0,3,9,"TypeScript, JavaScript, CSS",3,3,K,0.0,0.0,0,58.0,True
zeroark,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
nemgf,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
bluezin,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
musajajorge,,,,,1,5,1,5.0,1,365.25,0,0,0,1,7,R,1,1,M,0.0,0.0,0,899.0,False
arkezam,,,,,1,7,0,7.0,1,365.25,0,0,0,1,7,Java,1,1,K,0.0,0.0,1,1110.0,False
juanchos2018,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
gogodr,,,,,2,174,38,87.0,1,730.5,0,0,0,2,250,Python,1,2,R,0.0,0.5,4,1065.0,False
newiclus,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
mtocommunity,,,,,1,3,4,3.0,1,365.25,0,0,0,1,11,Astro,1,1,S,0.0,1.0,0,42.0,True
Yelsy,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
patriciact29,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
irwingss,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
entertechschool,,,,,1,7,0,7.0,1,365.25,0,0,0,1,7,HTML,1,1,P,0.0,0.0,0,720.0,False
RiyanPC,,,,,1,4,0,4.0,1,365.25,0,0,0,1,4,Blade,1,1,J,0.0,0.0,0,150.0,False
Lucas2k,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
IgorRC,,,,,1,6,0,6.0,1,365.25,0,0,0,1,6,Java,1,1,G,0.0,0.0,0,129.0,False
LubeckHuaman,,,,,1,5,0,5.0,1,365.25,0,0,0,1,5,Python,1,1,J,0.0,0.0,0,347.0,False
fabriziofranco,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
Pablituuu,,,,,1,230,59,230.0,1,365.25,0,0,0,1,348,TypeScript,1,1,R,0.0,0.0,1,408.0,False
urp-moviles-2025-2,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
cmolinan,,,,,7,64,2,9.142857142857142,1,2556.75,0,0,0,5,68,"Ruby, JavaScript",2,4,K,0.0,0.14285714285714285,37,928.0,False
Edgarmejiav,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
jahirmedinacs,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
sigiandre,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
CONOVATEC,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
MeloDev2111,,,,,1,6,0,6.0,1,365.25,0,0,0,1,6,Java,1,1,R,0.0,0.0,0,1557.0,False
luiseduardoaugusto,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
juvega,,,,,1,4,3,4.0,1,365.25,0,0,0,1,10,TSQL,1,1,G,0.0,1.0,0,1999.0,False
upc-pre-202301-si729-sw51,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
pcsinreu,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
